lag_count,sample_size,H,zeta,delta,radius,identifiability_score,lower,upper,empirical_hit_rate,gaussian_hit_rate
3,200,0.3,2.0,0.05,0.7918105639674713,1.9596261473553966,114.06291960800993,580.6721618512512,0.956,0.9499604970881135
3,200,0.3,4.0,0.005,0.2558914659168278,1.4168194156306178,81.96032960322998,137.3395503093627,0.829,0.8434642683562397
3,200,0.3,4.0,0.01,0.3604668308553724,1.9958321111526522,73.82223547585522,153.15599934543,0.949,0.9540477997112446
3,200,0.3,4.0,0.02,0.5068540061458144,2.8063483642356424,63.76935875249422,178.86956351415682,0.994,0.9949893510636447
3,200,0.3,4.0,0.05,0.7918105639674713,4.384095329287681,47.9575501058741,244.14256966917094,1.0,0.9999883531233671
5,10,0.3,0.5,0.005,0.2558914659168278,0.05204513565740197,1102.7223577019038,1847.8133684432044,0.043,0.041507270929789675
5,10,0.3,0.5,0.01,0.3604668308553724,0.0733144618350006,993.229650842596,2060.6132931867573,0.056,0.05844411621015477
5,10,0.3,0.5,0.02,0.5068540061458144,0.10308778924628381,857.9748028480076,2406.5723961128174,0.079,0.0821067038410912
5,10,0.3,0.5,0.05,0.7918105639674713,0.16104440243445015,645.2373114940788,3284.7777863301776,0.121,0.12794157104892423
5,10,0.3,1.0,0.005,0.2558914659168278,0.11454515632002694,463.63763880582763,776.909818790891,0.087,0.09119434763297996
5,10,0.3,1.0,0.01,0.3604668308553724,0.1613564146837695,417.6016264586188,866.3811657324479,0.138,0.12818730717579307
5,10,0.3,1.0,0.02,0.5068540061458144,0.22688396878493258,360.7339680464511,1011.8390504699054,0.195,0.17948603192793744
5,10,0.3,1.0,0.05,0.7918105639674713,0.3544395843782543,271.28887111165767,1381.0789327150392,0.299,0.2769905265401569
5,10,0.3,2.0,0.005,0.2558914659168278,0.2546597887117836,194.93561422425847,326.6503407983366,0.208,0.20101412361054916
5,10,0.3,2.0,0.01,0.3604668308553724,0.3587318031663934,175.57985534658664,364.26840825387484,0.291,0.28020426567288736
5,10,0.3,2.0,0.02,0.5068540061458144,0.5044143760338119,151.66995029525432,425.4259151769328,0.404,0.38602978217517836
5,10,0.3,2.0,0.05,0.7918105639674713,0.7879993582328143,114.06291960800993,580.6721618512512,0.558,0.5693029187272223
5,10,0.3,4.0,0.005,0.2558914659168278,0.573274558147896,81.96032960322998,137.3395503093627,0.395,0.4335411910855307
5,10,0.3,4.0,0.01,0.3604668308553724,0.8075551189063572,73.82223547585522,153.15599934543,0.545,0.5806532678111136
5,10,0.3,4.0,0.02,0.5068540061458144,1.1355068266058364,63.76935875249422,178.86956351415682,0.715,0.7438369767546862
5,10,0.3,4.0,0.05,0.7918105639674713,1.7738960131746917,47.9575501058741,244.14256966917094,0.915,0.9239196476644986
5,20,0.3,0.5,0.005,0.2558914659168278,0.07360293670224545,1102.7223577019038,1847.8133684432044,0.057,0.058673665670677666
5,20,0.3,0.5,0.01,0.3604668308553724,0.10368230624514252,993.229650842596,2060.6132931867573,0.086,0.0825785314615548
5,20,0.3,0.5,0.02,0.5068540061458144,0.1457881496671539,857.9748028480076,2406.5723961128174,0.111,0.11591136885565367
5,20,0.3,0.5,0.05,0.7918105639674713,0.2277511780670701,645.2373114940788,3284.7777863301776,0.171,0.18016031655171538
5,20,0.3,1.0,0.005,0.2558914659168278,0.16199131357192834,463.63763880582763,776.909818790891,0.137,0.128687305709982
5,20,0.3,1.0,0.01,0.3604668308553724,0.22819243002168407,417.6016264586188,866.3811657324479,0.196,0.18050335382368687
5,20,0.3,1.0,0.02,0.5068540061458144,0.32086238574068565,360.7339680464511,1011.8390504699054,0.261,0.25168532021168666
5,20,0.3,1.0,0.05,0.7918105639674713,0.5012532672696103,271.28887111165767,1381.0789327150392,0.367,0.3838071097856828
5,20,0.3,2.0,0.005,0.2558914659168278,0.36014332698727114,194.93561422425847,326.6503407983366,0.288,0.28126004663161885
5,20,0.3,2.0,0.01,0.3604668308553724,0.5073233812924692,175.57985534658664,364.26840825387484,0.402,0.38807206438126784
5,20,0.3,2.0,0.02,0.5068540061458144,0.7133496516429791,151.66995029525432,425.4259151769328,0.552,0.5243705797457343
5,20,0.3,2.0,0.05,0.7918105639674713,1.1143993795541411,114.06291960800993,580.6721618512512,0.766,0.7348921106063542
5,20,0.3,4.0,0.005,0.2558914659168278,0.810732655096198,81.96032960322998,137.3395503093627,0.568,0.5824807838711452
5,20,0.3,4.0,0.01,0.3604668308553724,1.1420554015211881,73.82223547585522,153.15599934543,0.74,0.74656900811533
5,20,0.3,4.0,0.02,0.5068540061458144,1.6058491543532085,63.76935875249422,178.86956351415682,0.898,0.891692942491453
5,20,0.3,4.0,0.05,0.7918105639674713,2.508667800071212,47.9575501058741,244.14256966917094,0.987,0.9878812605796108
5,50,0.3,0.5,0.005,0.2558914659168278,0.11637646122814901,1102.7223577019038,1847.8133684432044,0.084,0.09264581016024609
5,50,0.3,0.5,0.01,0.3604668308553724,0.1639361203968753,993.229650842596,2060.6132931867573,0.121,0.13021856821338273
5,50,0.3,0.5,0.02,0.5068540061458144,0.23051130440486242,857.9748028480076,2406.5723961128174,0.17,0.1823055196597987
5,50,0.3,0.5,0.05,0.7918105639674713,0.36010623123926316,645.2373114940788,3284.7777863301776,0.272,0.28123230689075784
5,50,0.3,1.0,0.005,0.2558914659168278,0.25613075602491986,463.63763880582763,776.909818790891,0.208,0.2021501259856251
5,50,0.3,1.0,0.01,0.3604668308553724,0.3608039118385538,417.6016264586188,866.3811657324479,0.296,0.28175396171050804
5,50,0.3,1.0,0.02,0.5068540061458144,0.5073279772080497,360.7339680464511,1011.8390504699054,0.411,0.3880752885880683
5,50,0.3,1.0,0.05,0.7918105639674713,0.7925510045865493,271.28887111165767,1381.0789327150392,0.586,0.5719605358307716
5,50,0.3,2.0,0.005,0.2558914659168278,0.5694365986952815,194.93561422425847,326.6503407983366,0.431,0.43094011440220403
5,50,0.3,2.0,0.01,0.3604668308553724,0.8021486975711299,175.57985534658664,364.26840825387484,0.592,0.5775330515790749
5,50,0.3,2.0,0.02,0.5068540061458144,1.1279048336397441,151.66995029525432,425.4259151769328,0.761,0.7406398876989435
5,50,0.3,2.0,0.05,0.7918105639674713,1.7620201312347814,114.06291960800993,580.6721618512512,0.924,0.9219341037636943
5,50,0.3,4.0,0.005,0.2558914659168278,1.281880881789851,81.96032960322998,137.3395503093627,0.809,0.8001155645134572
5,50,0.3,4.0,0.01,0.3604668308553724,1.8057481414525405,73.82223547585522,153.15599934543,0.929,0.9290423108377828
5,50,0.3,4.0,0.02,0.5068540061458144,2.539070453205717,63.76935875249422,178.86956351415682,0.992,0.9888852561773684
5,50,0.3,4.0,0.05,0.7918105639674713,3.9665520704744734,47.9575501058741,244.14256966917094,1.0,0.999927080149488
5,100,0.3,0.5,0.005,0.2558914659168278,0.164581169809835,1102.7223577019038,1847.8133684432044,0.137,0.13072634659835636
5,100,0.3,0.5,0.01,0.3604668308553724,0.23184068482808964,993.229650842596,2060.6132931867573,0.184,0.18333824409605404
5,100,0.3,0.5,0.02,0.5068540061458144,0.3259922129696694,857.9748028480076,2406.5723961128174,0.253,0.2555697532483405
5,100,0.3,0.5,0.05,0.7918105639674713,0.5092671161136278,645.2373114940788,3284.7777863301776,0.396,0.3894349957366319
5,100,0.3,1.0,0.005,0.2558914659168278,0.362223588911316,463.63763880582763,776.909818790891,0.317,0.2828150466480912
5,100,0.3,1.0,0.01,0.3604668308553724,0.5102537854793494,417.6016264586188,866.3811657324479,0.415,0.39012632468194
5,100,0.3,1.0,0.02,0.5068540061458144,0.7174701059389322,360.7339680464511,1011.8390504699054,0.547,0.5269159244332113
5,100,0.3,1.0,0.05,0.7918105639674713,1.1208363795587188,271.28887111165767,1381.0789327150392,0.738,0.7376424843488061
5,100,0.3,2.0,0.005,0.2558914659168278,0.8053049607864727,194.93561422425847,326.6503407983366,0.583,0.5793562801936174
5,100,0.3,2.0,0.01,0.3604668308553724,1.1344095671450063,175.57985534658664,364.26840825387484,0.736,0.7433772121827529
5,100,0.3,2.0,0.02,0.5068540061458144,1.5950983127994955,151.66995029525432,425.4259151769328,0.88,0.889309747270832
5,100,0.3,2.0,0.05,0.7918105639674713,2.4918727667666487,114.06291960800993,580.6721618512512,0.986,0.9872928452125955
5,100,0.3,4.0,0.005,0.2558914659168278,1.8128533283739898,81.96032960322998,137.3395503093627,0.934,0.9301455537279693
5,100,0.3,4.0,0.01,0.3604668308553724,2.553713511872193,73.82223547585522,153.15599934543,0.992,0.9893419089335223
5,100,0.3,4.0,0.02,0.5068540061458144,3.5907878707443257,63.76935875249422,178.86956351415682,0.999,0.9996703201191
5,100,0.3,4.0,0.05,0.7918105639674713,5.60955173392408,47.9575501058741,244.14256966917094,1.0,0.9999999797148647
5,200,0.3,0.5,0.005,0.2558914659168278,0.23275292245629803,1102.7223577019038,1847.8133684432044,0.188,0.18404672862705462
5,200,0.3,0.5,0.01,0.3604668308553724,0.3278722407937506,993.229650842596,2060.6132931867573,0.258,0.2569917367827179
5,200,0.3,0.5,0.02,0.5068540061458144,0.46102260880972484,857.9748028480076,2406.5723961128174,0.37,0.35521761550628206
5,200,0.3,0.5,0.05,0.7918105639674713,0.7202124624785263,645.2373114940788,3284.7777863301776,0.561,0.5286058081191778
5,200,0.3,1.0,0.005,0.2558914659168278,0.5122615120498397,463.63763880582763,776.909818790891,0.401,0.39153200212726635
5,200,0.3,1.0,0.01,0.3604668308553724,0.7216078236771076,417.6016264586188,866.3811657324479,0.543,0.5294643723333545
5,200,0.3,1.0,0.02,0.5068540061458144,1.0146559544160993,360.7339680464511,1011.8390504699054,0.71,0.689730143223745
5,200,0.3,1.0,0.05,0.7918105639674713,1.5851020091730985,271.28887111165767,1381.0789327150392,0.906,0.8870568408227433
5,200,0.3,2.0,0.005,0.2558914659168278,1.138873197390563,194.93561422425847,326.6503407983366,0.752,0.7452439538089066
5,200,0.3,2.0,0.01,0.3604668308553724,1.6042973951422599,175.57985534658664,364.26840825387484,0.902,0.891351484985424
5,200,0.3,2.0,0.02,0.5068540061458144,2.2558096672794883,151.66995029525432,425.4259151769328,0.984,0.9759174463481108
5,200,0.3,2.0,0.05,0.7918105639674713,3.524040262469563,114.06291960800993,580.6721618512512,1.0,0.9995749803386014
5,200,0.3,4.0,0.005,0.2558914659168278,2.563761763579702,81.96032960322998,137.3395503093627,0.988,0.9896455410341809
5,200,0.3,4.0,0.01,0.3604668308553724,3.611496282905081,73.82223547585522,153.15599934543,1.0,0.9996955645516254
5,200,0.3,4.0,0.02,0.5068540061458144,5.078140906411434,63.76935875249422,178.86956351415682,1.0,0.9999996188540126
5,200,0.3,4.0,0.05,0.7918105639674713,7.933104140948947,47.9575501058741,244.14256966917094,1.0,0.9999999999999978
8,10,0.3,0.5,0.005,0.2558914659168278,0.08470570240439056,1102.7223577019038,1847.8133684432044,0.048,0.06750463759907
8,10,0.3,0.5,0.01,0.3604668308553724,0.11932244786550741,993.229650842596,2060.6132931867573,0.058,0.09498010027603065
8,10,0.3,0.5,0.02,0.5068540061458144,0.16777982201647595,857.9748028480076,2406.5723961128174,0.09,0.13324350284274433
8,10,0.3,0.5,0.05,0.7918105639674713,0.2621067089977954,645.2373114940788,3284.7777863301776,0.168,0.20676082547689578
