scenario_id,suite_name,master_seed,scenario_seed,repetitions,lag_count,sample_size,H,zeta,sigma0,a,C_K,C_S,var_alpha_theory_scaled,var_alpha_empirical_scaled,var_alpha_empirical_scaled_se,var_H_theory_scaled,var_H_empirical_scaled,var_H_empirical_scaled_se,cov_theory_scaled,cov_empirical_scaled,cov_empirical_scaled_se
86fcd97247eb,default,12345,148420538025963,1000,10,500,0.6,1.0,1.0,0.5,100.0,1.0,0.24281265936740337,0.2441503937878689,0.010924201011574448,0.0639113805268448,0.0653478307367173,0.0029239061529365965,-0.12132718647551599,-0.12305571963107084,0.005584048486718592
4bb25833dd0d,default,12345,83229356055821,1000,10,500,0.6,2.0,1.0,0.5,100.0,1.0,0.06070316484185084,0.06140541865081738,0.0027475079033632177,0.0159778451317112,0.016238930507071724,0.0007265904360013955,-0.030331796618878998,-0.030797252223345017,0.001407313383072936
3653b018575e,default,12345,59733064570718,1000,10,1000,0.6,0.5,1.0,0.5,100.0,1.0,0.9712506374696135,0.9786577650214984,0.043788805665093494,0.2556455221073792,0.25535563032075637,0.011425565168184635,-0.48530874590206396,-0.48650013884706234,0.02058984474136478
40d13fa46864,default,12345,71267460081764,1000,10,1000,0.6,1.0,1.0,0.5,100.0,1.0,0.24281265936740337,0.23821894835957289,0.010658805977216287,0.0639113805268448,0.06231614238513211,0.0027882570866240484,-0.12132718647551599,-0.11862253842553783,0.004970980815307908
b31370818e1a,default,12345,196896073289242,1000,10,1000,0.6,2.0,1.0,0.5,100.0,1.0,0.06070316484185084,0.060455578512245194,0.002705008505997348,0.0159778451317112,0.016046227070441545,0.0007179681641110692,-0.030331796618878998,-0.03027164821127484,0.0013336311232804367
cb6195b23ae7,default,12345,223619983751911,1000,10,5000,0.6,0.5,1.0,0.5,100.0,1.0,0.9712506374696135,0.9761931340398379,0.043678528864612855,0.2556455221073792,0.25739584926082326,0.011516852187890518,-0.48530874590206396,-0.48744972110680634,0.022688417584842198
ce24c7efb42c,default,12345,226657368519724,1000,10,5000,0.6,1.0,1.0,0.5,100.0,1.0,0.24281265936740337,0.2537679682484492,0.011354527233953797,0.0639113805268448,0.06589613136622118,0.002948439172107876,-0.12132718647551599,-0.125886383146441,0.005828149399107092
7af5a3cee504,default,12345,135195433821444,1000,10,5000,0.6,2.0,1.0,0.5,100.0,1.0,0.06070316484185084,0.05647820774914106,0.002527046074564777,0.0159778451317112,0.014946031506825993,0.0006687413031483902,-0.030331796618878998,-0.02817920890446701,0.0013279793100781367
a82896f736c3,default,12345,184892284942019,1000,20,500,0.6,0.5,1.0,0.5,100.0,1.0,0.38276409804485695,0.36476888604164365,0.0163211231080349,0.05638044883035628,0.0532622721160473,0.0023831530963428155,-0.1446888204988566,-0.13735654693371174,0.006042389096371116
5a428aa3318e,default,12345,99241840292238,1000,20,500,0.6,1.0,1.0,0.5,100.0,1.0,0.09569102451121424,0.09267484743914664,0.004146619001654612,0.01409511220758907,0.013802914071063883,0.0006175939572262256,-0.03617220512471415,-0.035195803012865325,0.0014941077872891028
5d6b45fb79f5,default,12345,102715316992501,1000,20,500,0.6,2.0,1.0,0.5,100.0,1.0,0.02392275612780356,0.023292050621091895,0.00104217338751316,0.0035237780518972677,0.003415727701147862,0.00015283242197251112,-0.009043051281178537,-0.008787010749629398,0.0003860555097069498
5c7596c63684,default,12345,101660110501508,1000,20,1000,0.6,0.5,1.0,0.5,100.0,1.0,0.38276409804485695,0.3706130391196124,0.016582612356426663,0.05638044883035628,0.0541315270821655,0.002422046811945155,-0.1446888204988566,-0.1394704386490524,0.006010414705017429
b00222c2bd69,default,12345,193523219610985,1000,20,1000,0.6,1.0,1.0,0.5,100.0,1.0,0.09569102451121424,0.09323309689096615,0.004171597168315184,0.01409511220758907,0.014013547660762318,0.0006270184911700636,-0.03617220512471415,-0.035574459214821504,0.0015843120160503933
199ff205a832,default,12345,28174750951474,1000,20,1000,0.6,2.0,1.0,0.5,100.0,1.0,0.02392275612780356,0.024001229835563503,0.001073904715781463,0.0035237780518972677,0.0035067451468292804,0.00015690488262579095,-0.009043051281178537,-0.009042909686091444,0.00038220650817589373
c2b22e9d692b,default,12345,214070542035243,1000,20,5000,0.6,0.5,1.0,0.5,100.0,1.0,0.38276409804485695,0.41256077129628826,0.018459510653284807,0.05638044883035628,0.06070490062094576,0.0027161641088608887,-0.1446888204988566,-0.15599810624384178,0.006940470591932607
ceb60e54989c,default,12345,227281319794844,1000,20,5000,0.6,1.0,1.0,0.5,100.0,1.0,0.09569102451121424,0.0947910545881836,0.004241306017798836,0.01409511220758907,0.013777025224716171,0.0006164355934936408,-0.03617220512471415,-0.03558012196092121,0.0015649923970450404
686da19fbe4e,default,12345,114820072324686,1000,20,5000,0.6,2.0,1.0,0.5,100.0,1.0,0.02392275612780356,0.02454069475235676,0.0010980423921468847,0.0035237780518972677,0.0036526742605981926,0.0001634342965149924,-0.009043051281178537,-0.009333720009118864,0.0004329545032354194
57efecf1ca33,default,12345,96687984069171,1000,50,500,0.6,0.5,1.0,0.5,100.0,1.0,0.0935371319333377,0.09808818039623322,0.004388831747857165,0.007648521176130786,0.007895257323728729,0.0003532633173528939,-0.026521210634351776,-0.02759736669861327,0.001197173414462967
d8abcb6cfc92,default,12345,238232363924626,1000,50,500,0.6,1.0,1.0,0.5,100.0,1.0,0.023384282983334424,0.02381049290666213,0.001065370432795791,0.0019121302940326966,0.001931501793508215,8.64226082913191e-05,-0.006630302658587944,-0.00672423421406742,0.0002970334668795405
85c747ee74a4,default,12345,147090951795876,1000,50,500,0.6,2.0,1.0,0.5,100.0,1.0,0.005846070745833606,0.005876359333043977,0.0002629302765990607,0.00047803257350817414,0.0004864360690445635,2.17649675475844e-05,-0.001657575664646986,-0.0016773636097882094,7.567106121067402e-05
2efc60dabe66,default,12345,51661491584614,1000,50,1000,0.6,0.5,1.0,0.5,100.0,1.0,0.0935371319333377,0.09633004100128643,0.004310166021135242,0.007648521176130786,0.007795071977892879,0.0003487806505861311,-0.026521210634351776,-0.027173505705781795,0.0012231574101676484
694f247881c2,default,12345,115788635210178,1000,50,1000,0.6,1.0,1.0,0.5,100.0,1.0,0.023384282983334424,0.02289241800085862,0.0010242923306511195,0.0019121302940326966,0.0018614726517532545,8.328924278930023e-05,-0.006630302658587944,-0.00646981800749668,0.0002840724163982219
e1718caeb936,default,12345,247877807814966,1000,50,1000,0.6,2.0,1.0,0.5,100.0,1.0,0.005846070745833606,0.005513765016079314,0.0002467064518379256,0.00047803257350817414,0.0004445405889756172,1.9890407205292947e-05,-0.001657575664646986,-0.0015531988334627506,7.228489676936925e-05
dc68ac170b9a,default,12345,242342121900954,1000,50,5000,0.6,0.5,1.0,0.5,100.0,1.0,0.0935371319333377,0.09200934271676776,0.004116841833374738,0.007648521176130786,0.00746564064234358,0.0003340406615440541,-0.026521210634351776,-0.025993803302395906,0.001229962689752028
3f4935684fbe,default,12345,69583661191102,1000,50,5000,0.6,1.0,1.0,0.5,100.0,1.0,0.023384282983334424,0.02401170982147945,0.0010743736295151993,0.0019121302940326966,0.0019616047135870484,8.776952543068797e-05,-0.006630302658587944,-0.006806140748771863,0.00030339955026589496
164954e14654,default,12345,24504212473428,1000,50,5000,0.6,2.0,1.0,0.5,100.0,1.0,0.005846070745833606,0.0059897938526088865,0.00026800576091081285,0.00047803257350817414,0.00048818975940240515,2.1843434207760124e-05,-0.001657575664646986,-0.0016948563561925572,7.555259931642429e-05
005026e1026b,default,12345,344249664107,1000,10,500,0.9,0.5,1.0,0.5,100.0,1.0,0.505813092969729,0.49823135528640144,0.022292732733197214,0.12347133810620788,0.12310284732181716,0.005508081426275008,-0.24604443374059257,-0.2441011654959556,0.010410928688345311
ede1efa92f1c,default,12345,261554644266780,1000,10,500,0.9,1.0,1.0,0.5,100.0,1.0,0.12645327324243225,0.12266532392921257,0.005488504994658718,0.03086783452655197,0.029544067571052376,0.0013219119897309396,-0.06151110843514814,-0.05916700725942559,0.0027190632754685103
a50ca7a61c9e,default,12345,181473770871966,1000,10,500,0.9,2.0,1.0,0.5,100.0,1.0,0.03161331831060806,0.032667293170952134,0.0014616567746090845,0.007716958631637992,0.007944014460847583,0.00035544489387370857,-0.015377777108787035,-0.015874093473882276,0.0006955948850038743
a6a9fbbf7752,default,12345,183249003312978,1000,10,1000,0.9,0.5,1.0,0.5,100.0,1.0,0.505813092969729,0.49309122746573053,0.02206274420576939,0.12347133810620788,0.11852096343457348,0.0053030708185942636,-0.24604443374059257,-0.23803926005788723,0.010979382454578539
a7e0c70be06f,default,12345,184583853957231,1000,10,1000,0.9,1.0,1.0,0.5,100.0,1.0,0.12645327324243225,0.12726079807041255,0.00569412368108844,0.03086783452655197,0.03109270864028965,0.0013912039784623874,-0.06151110843514814,-0.061917347635927766,0.0026994452350498225
6eb8f58cba52,default,12345,121740672678482,1000,10,1000,0.9,2.0,1.0,0.5,100.0,1.0,0.03161331831060806,0.03320806421630287,0.0014858528920471887,0.007716958631637992,0.007987411803156352,0.00035738665314509027,-0.015377777108787035,-0.0160279661626734,0.0006991479348740507
7090455c3707,default,12345,123764941272839,1000,10,5000,0.9,0.5,1.0,0.5,100.0,1.0,0.505813092969729,0.5554292377575197,0.024851979744257957,0.12347133810620788,0.1364968475829632,0.006107379051528768,-0.24604443374059257,-0.27179174255418087,0.011740914364292355
caabce2436d0,default,12345,222839246698192,1000,10,5000,0.9,1.0,1.0,0.5,100.0,1.0,0.12645327324243225,0.12913628172320912,0.005778039828423729,0.03086783452655197,0.03195116743388994,0.0014296146329608249,-0.06151110843514814,-0.06325906177286016,0.002759462202161289
839bf5af80e8,default,12345,144705865089256,1000,10,5000,0.9,2.0,1.0,0.5,100.0,1.0,0.03161331831060806,0.03234354572469179,0.0014471711040145707,0.007716958631637992,0.00781467508917041,0.0003496577670417944,-0.015377777108787035,-0.015659397495998574,0.0006866378273028697
9205a24433d8,default,12345,160552894870488,1000,20,500,0.9,0.5,1.0,0.5,100.0,1.0,0.1351149268055002,0.1303125999191386,0.005830672700427497,0.018719227929539787,0.017915764725383476,0.0008016182652820627,-0.04984677073349965,-0.04787205480330604,0.0022091834704074434
b52057edd4a6,default,12345,199150518785190,1000,20,500,0.9,1.0,1.0,0.5,100.0,1.0,0.03377873170137505,0.03299523615592399,0.0014763301692843397,0.004679806982384947,0.004539012163938807,0.0002030923665678428,-0.012461692683374912,-0.0121200020991633,0.0005203416752853505
ccde4bc20bbb,default,12345,225255125814203,1000,20,500,0.9,2.0,1.0,0.5,100.0,1.0,0.008444682925343762,0.008157485884727849,0.0003649964031238685,0.0011699517455962367,0.0011394916708670957,5.0985115651226484e-05,-0.003115423170843728,-0.0030227466421211954,0.0001366417692646556
07f48c15824e,default,12345,8746903634510,1000,20,1000,0.9,0.5,1.0,0.5,100.0,1.0,0.1351149268055002,0.13422228238828365,0.0060056065046362175,0.018719227929539787,0.01847693411390379,0.0008267270808224734,-0.04984677073349965,-0.049350783553220375,0.002109064912802287
90f426dea68b,default,12345,159378298545803,1000,20,1000,0.9,1.0,1.0,0.5,100.0,1.0,0.03377873170137505,0.03388229264074028,0.001516020391357761,0.004679806982384947,0.00465267407247516,0.0002081780251119332,-0.012461692683374912,-0.012444996218150999,0.0005205098210006181
b26bb786f850,default,12345,196175710320720,1000,20,1000,0.9,2.0,1.0,0.5,100.0,1.0,0.008444682925343762,0.008759444953328694,0.0003919303013826986,0.0011699517455962367,0.0012103981822810458,5.415773795053148e-05,-0.003115423170843728,-0.003229414852128525,0.00014238205699725054
c20cfd99e7e0,default,12345,213361050118112,1000,20,5000,0.9,0.5,1.0,0.5,100.0,1.0,0.1351149268055002,0.13414112531462932,0.00600197523387578,0.018719227929539787,0.018402863993414807,0.0008234129068306992,-0.04984677073349965,-0.04922562542297129,0.0022579825137525986
fd660a9baa6b,default,12345,278614706465387,1000,20,5000,0.9,1.0,1.0,0.5,100.0,1.0,0.03377873170137505,0.03592607591887183,0.0016074668928686379,0.004679806982384947,0.0048793373468409874,0.00021831978705095072,-0.012461692683374912,-0.01313436344312371,0.0005839861395703573
bcb900c5b5d6,default,12345,207502767928790,1000,20,5000,0.9,2.0,1.0,0.5,100.0,1.0,0.008444682925343762,0.008044803082891752,0.0003599545534724833,0.0011699517455962367,0.0011002820156419237,4.923072914941126e-05,-0.003115423170843728,-0.0029496651256952734,0.00013632300497040992
ce588a78ddba,default,12345,226879675620794,1000,50,500,0.9,0.5,1.0,0.5,100.0,1.0,0.0191841653512366,0.018814273864525645,0.0008418209219087565,0.0014946759858255841,0.0014807327475084198,6.625351664293166e-05,-0.005328159311191227,-0.005252364442936322,0.0002279638254852786
894c47f75b8e,default,12345,150960717912974,1000,50,500,0.9,1.0,1.0,0.5,100.0,1.0,0.00479604133780915,0.0047510181218814035,0.00021257830539548434,0.00037366899645639603,0.00037025654111805755,1.656666130359898e-05,-0.0013320398277978068,-0.0013195423268229818,6.447259425589204e-05
3111d32f4800,default,12345,53952627296256,1000,50,500,0.9,2.0,1.0,0.5,100.0,1.0,0.0011990103344522874,0.0012119514075257499,5.422723505240444e-05,9.341724911409901e-05,9.381299390104009e-05,4.197543927629292e-06,-0.0003330099569494517,-0.0003355571370506609,1.5531830695336155e-05
726902dbc970,default,12345,125795345090928,1000,50,1000,0.9,0.5,1.0,0.5,100.0,1.0,0.0191841653512366,0.018582696133588723,0.0008314592688173539,0.0014946759858255841,0.0014533520276171976,6.502840091285747e-05,-0.005328159311191227,-0.00516800052865552,0.00022308379016702654
2d55dece6997,default,12345,49846833539479,1000,50,1000,0.9,1.0,1.0,0.5,100.0,1.0,0.00479604133780915,0.004847348168201221,0.00021688847165459053,0.00037366899645639603,0.0003753788449557853,1.6795852319421445e-05,-0.0013320398277978068,-0.0013428625727069793,5.717633873050634e-05
4f22a13d0b7e,default,12345,87010152614782,1000,50,1000,0.9,2.0,1.0,0.5,100.0,1.0,0.0011990103344522874,0.0012139069750233425,5.431473445023038e-05,9.341724911409901e-05,9.474824094873723e-05,4.2393903755748244e-06,-0.0003330099569494517,-0.0003375368588997515,1.495485074854557e-05
2e74471ec6b4,default,12345,51076944283316,1000,50,5000,0.9,0.5,1.0,0.5,100.0,1.0,0.0191841653512366,0.01846798421730822,0.0008263266290028964,0.0014946759858255841,0.0014439504837095575,6.460774070472592e-05,-0.005328159311191227,-0.005137351918828772,0.0002399790664122529
8cb15cd9e44e,default,12345,154693394883662,1000,50,5000,0.9,1.0,1.0,0.5,100.0,1.0,0.00479604133780915,0.005029131863510807,0.00022502215351100454,0.00037366899645639603,0.00039132550528379027,1.7509365495393568e-05,-0.0013320398277978068,-0.001396270516458499,6.0379052457091756e-05
243b38937e5e,default,12345,39836770860638,1000,50,5000,0.9,2.0,1.0,0.5,100.0,1.0,0.0011990103344522874,0.001199481365443147,5.36692787689036e-05,9.341724911409901e-05,9.295259052869646e-05,4.159046265410959e-06,-0.0003330099569494517,-0.00033232069312017474,1.4851932870965284e-05
