scenario_id,suite_name,master_seed,scenario_seed,repetitions,lag_count,sample_size,H,zeta,sigma0,a,C_K,C_S
b342ed70b6f0,transition,2026,197100032800496,1000,3,200,0.9,2.0,1.0,0.5,100.0,1.0
f5a64fce71b5,transition,2026,270094652305845,1000,3,200,0.9,4.0,1.0,0.5,100.0,1.0
631f88adad7f,transition,2026,108987088219519,1000,5,10,0.9,0.5,1.0,0.5,100.0,1.0
a7a29ae52b37,transition,2026,184316825250615,1000,5,10,0.9,1.0,1.0,0.5,100.0,1.0
e86a7afd218e,transition,2026,255544027586958,1000,5,10,0.9,2.0,1.0,0.5,100.0,1.0
a2dba7d4c0c9,transition,2026,179064297275593,1000,5,10,0.9,4.0,1.0,0.5,100.0,1.0
e97b21189c09,transition,2026,256715045510153,1000,5,20,0.9,0.5,1.0,0.5,100.0,1.0
4a9142712012,transition,2026,81987745423378,1000,5,20,0.9,1.0,1.0,0.5,100.0,1.0
fb4c2872d3c7,transition,2026,276304514700231,1000,5,20,0.9,2.0,1.0,0.5,100.0,1.0
6e36b40ef688,transition,2026,121181228168840,1000,5,20,0.9,4.0,1.0,0.5,100.0,1.0
2362dbfa1dc7,transition,2026,38907504369095,1000,5,50,0.9,0.5,1.0,0.5,100.0,1.0
ef9886ca4d51,transition,2026,263438375472465,1000,5,50,0.9,1.0,1.0,0.5,100.0,1.0
5750408c4579,transition,2026,96002191934841,1000,5,50,0.9,2.0,1.0,0.5,100.0,1.0
3421536b5c32,transition,2026,57317738110002,1000,5,50,0.9,4.0,1.0,0.5,100.0,1.0
c3c5657adb0e,transition,2026,215252578523918,1000,5,100,0.9,0.5,1.0,0.5,100.0,1.0
59075b993a90,transition,2026,97888136411792,1000,5,100,0.9,1.0,1.0,0.5,100.0,1.0
dc20c7a2a147,transition,2026,242033346388295,1000,5,100,0.9,2.0,1.0,0.5,100.0,1.0
08dae403f5d2,transition,2026,9736221357522,1000,5,100,0.9,4.0,1.0,0.5,100.0,1.0
f112bbb86b48,transition,2026,265062761130824,1000,5,200,0.9,0.5,1.0,0.5,100.0,1.0
d36c47e83d21,transition,2026,232462016331041,1000,5,200,0.9,1.0,1.0,0.5,100.0,1.0
ab28d83025d1,transition,2026,188191914075601,1000,5,200,0.9,2.0,1.0,0.5,100.0,1.0
ab3fc6097925,transition,2026,188290393798949,1000,5,200,0.9,4.0,1.0,0.5,100.0,1.0
f80ed5dc94a5,transition,2026,272742601233573,1000,8,10,0.9,0.5,1.0,0.5,100.0,1.0
1c6153683410,transition,2026,31204336743440,1000,8,10,0.9,1.0,1.0,0.5,100.0,1.0
0c365586f06d,transition,2026,13427502674029,1000,8,10,0.9,2.0,1.0,0.5,100.0,1.0
db6fee1e8898,transition,2026,241273782831256,1000,8,10,0.9,4.0,1.0,0.5,100.0,1.0
899e3c23d748,transition,2026,151312706819912,1000,8,20,0.9,0.5,1.0,0.5,100.0,1.0
