scenario_id,suite_name,master_seed,scenario_seed,repetitions,lag_count,sample_size,H,zeta,sigma0,a,C_K,C_S,delta,radius,identifiability_score,lower,upper,empirical_hit_rate,empirical_hit_rate_se,gaussian_hit_rate
13aa57f20955,default,12345,21622340847957,1000,50,1000,0.3,0.5,1.0,0.5,100.0,1.0,0.2,1.5271140852977325,29.53066973508462,309.3009195205053,7759.99164202459,1.0,0.0,1.0
e2557e474ca3,default,12345,248856818699427,1000,50,1000,0.3,1.0,1.0,0.5,100.0,1.0,0.05,0.7918105639674713,34.71549542647844,271.28887111165767,1381.0789327150392,1.0,0.0,1.0
e2557e474ca3,default,12345,248856818699427,1000,50,1000,0.3,1.0,1.0,0.5,100.0,1.0,0.1,1.103687976708687,48.38919389469487,198.60278714670392,1968.635161475391,1.0,0.0,1.0
e2557e474ca3,default,12345,248856818699427,1000,50,1000,0.3,1.0,1.0,0.5,100.0,1.0,0.2,1.5271140852977325,66.95354224402865,130.04501722973532,3262.6745770886323,1.0,0.0,1.0
d09e431ca87b,default,12345,229378149361787,1000,50,1000,0.3,2.0,1.0,0.5,100.0,1.0,0.05,0.7918105639674713,80.12451684230302,114.06291960800993,580.6721618512512,1.0,0.0,1.0
d09e431ca87b,default,12345,229378149361787,1000,50,1000,0.3,2.0,1.0,0.5,100.0,1.0,0.1,1.103687976708687,111.68386720598926,83.5021858855299,827.7091251135367,1.0,0.0,1.0
d09e431ca87b,default,12345,229378149361787,1000,50,1000,0.3,2.0,1.0,0.5,100.0,1.0,0.2,1.5271140852977325,154.530999983707,54.677194405045974,1371.78567800663,1.0,0.0,1.0
3879545ca676,default,12345,62093757556342,1000,50,5000,0.3,0.5,1.0,0.5,100.0,1.0,0.05,0.7918105639674713,34.237977916562734,645.2373114940788,3284.7777863301776,1.0,0.0,1.0
3879545ca676,default,12345,62093757556342,1000,50,5000,0.3,0.5,1.0,0.5,100.0,1.0,0.1,1.103687976708687,47.723592350152344,472.3596950684625,4682.229881742131,1.0,0.0,1.0
3879545ca676,default,12345,62093757556342,1000,50,5000,0.3,0.5,1.0,0.5,100.0,1.0,0.2,1.5271140852977325,66.03258494874491,309.3009195205053,7759.99164202459,1.0,0.0,1.0
