scenario_id,suite_name,master_seed,scenario_seed,repetitions,lag_count,sample_size,H,zeta,sigma0,a,C_K,C_S,tau2,std_log_horizon_theory,std_log_horizon_empirical,std_log_horizon_empirical_se,ks_pvalue,ci95_coverage,ci95_coverage_se
e1718caeb936,default,12345,247877807814966,1000,50,1000,0.6,2.0,1.0,0.5,100.0,1.0,0.0010798835187764626,0.001039174440975365,0.0009848342861097903,2.2032583150165555e-05,0.271695021383489,0.96,0.00619677335393187
dc68ac170b9a,default,12345,242342121900954,1000,50,5000,0.6,0.5,1.0,0.5,100.0,1.0,0.05264745377701871,0.0032449176808362554,0.0031893158417665964,7.135095463972214e-05,0.0316207864591993,0.951,0.006826346021115546
3f4935684fbe,default,12345,69583661191102,1000,50,5000,0.6,1.0,1.0,0.5,100.0,1.0,0.008113221973414093,0.0012738305988956374,0.0012885829859133086,2.882800912138283e-05,0.12611483355954334,0.953,0.00669260786241059
164954e14654,default,12345,24504212473428,1000,50,5000,0.6,2.0,1.0,0.5,100.0,1.0,0.0010798835187764626,0.00046473293810025187,0.00046937177581996844,1.0500723649604379e-05,0.936363149086532,0.938,0.00762600813007697
005026e1026b,default,12345,344249664107,1000,10,500,0.9,0.5,1.0,0.5,100.0,1.0,0.396317250071154,0.028153765292449034,0.0281859556968072,0.0006305724945968792,0.7403164048315258,0.955,0.00655553201502365
ede1efa92f1c,default,12345,261554644266780,1000,10,500,0.9,1.0,1.0,0.5,100.0,1.0,0.06421734888786587,0.011332903325085401,0.011045031234354347,0.00024709798643216495,0.01763777192739115,0.95,0.006892024376045114
a50ca7a61c9e,default,12345,181473770871966,1000,10,500,0.9,2.0,1.0,0.5,100.0,1.0,0.009269102474863037,0.004305601578145158,0.004347095129175879,9.725264061792608e-05,0.5080177050716013,0.944,0.007270763371201131
a6a9fbbf7752,default,12345,183249003312978,1000,10,1000,0.9,0.5,1.0,0.5,100.0,1.0,0.396317250071154,0.01990771835422518,0.019367739897154256,0.0004332925302595108,0.5370255751372313,0.952,0.006759881655768837
a7e0c70be06f,default,12345,184583853957231,1000,10,1000,0.9,1.0,1.0,0.5,100.0,1.0,0.06421734888786587,0.00801357279169946,0.008049615252777583,0.00018008493396816147,0.7921551503773933,0.95,0.006892024376045114
6eb8f58cba52,default,12345,121740672678482,1000,10,1000,0.9,2.0,1.0,0.5,100.0,1.0,0.009269102474863037,0.003044520072993942,0.003073646128258377,6.876320701885839e-05,0.5178330890292305,0.942,0.007391616873188169
7090455c3707,default,12345,123764941272839,1000,10,5000,0.9,0.5,1.0,0.5,100.0,1.0,0.396317250071154,0.008903002303393547,0.00934977714842898,0.00020917198493566077,0.18986209123115816,0.933,0.007906389820898028
caabce2436d0,default,12345,222839246698192,1000,10,5000,0.9,1.0,1.0,0.5,100.0,1.0,0.06421734888786587,0.003583778700976551,0.0036680677098737376,8.206152848055993e-05,0.42208675945955354,0.942,0.007391616873188169
839bf5af80e8,default,12345,144705865089256,1000,10,5000,0.9,2.0,1.0,0.5,100.0,1.0,0.009269102474863037,0.001361550768415415,0.001359965151693178,3.042496154796452e-05,0.9936340838813744,0.946,0.0071473071852271785
9205a24433d8,default,12345,160552894870488,1000,20,500,0.9,0.5,1.0,0.5,100.0,1.0,0.03260368290313397,0.00807510778914238,0.00787137865761755,0.00017609744829808193,0.6196388294672313,0.952,0.006759881655768837
b52057edd4a6,default,12345,199150518785190,1000,20,500,0.9,1.0,1.0,0.5,100.0,1.0,0.004449971290805453,0.002983277154675862,0.002931661255713241,6.558674012027639e-05,0.9430074968752632,0.963,0.005969170796685251
ccde4bc20bbb,default,12345,225255125814203,1000,20,500,0.9,2.0,1.0,0.5,100.0,1.0,0.0004798975101410331,0.0009796912882546554,0.0009740837303339177,2.1792073129969122e-05,0.6797035965575968,0.958,0.006343185319695463
07f48c15824e,default,12345,8746903634510,1000,20,1000,0.9,0.5,1.0,0.5,100.0,1.0,0.03260368290313397,0.005709963476514887,0.005652639782891163,0.00012646011394103638,0.1252582762359854,0.958,0.006343185319695463
90f426dea68b,default,12345,159378298545803,1000,20,1000,0.9,1.0,1.0,0.5,100.0,1.0,0.004449971290805453,0.002109495506230211,0.0020865200093012006,4.667935128559077e-05,0.960422944981676,0.959,0.006270486424512857
b26bb786f850,default,12345,196175710320720,1000,20,1000,0.9,2.0,1.0,0.5,100.0,1.0,0.0004798975101410331,0.0006927463533942514,0.0006968797540392108,1.5590502222649208e-05,0.9232453364475143,0.948,0.007021111023192843
