truth_h,lambda_0,lambda_1,policy,mean_cumulative_validity_loss,mean_cumulative_update_cost,mean_total_cost,mean_regret,mean_lead_time,mean_log_memory_std,mean_tau_valid,mean_tau_detect,mean_delay_gap,mean_masking_index,schedule_mode
0.5,2.0,2.0,fixed_policy,348.83293897288326,0.0,348.83293897288326,15.102928051143238,-37.0,8.881784197001252e-16,33.0,70.0,37.0,0.025853080895537686,default
0.5,2.0,2.0,deploy_only,363.1534399088594,80.68237924837321,443.8358191572326,29.42342898711941,0.0,0.4263173703681857,70.0,70.0,0.0,0.01697130253140383,default
0.5,2.0,2.0,detector_only,335.92038706635134,36.090372670498944,372.0107597368503,2.190376144611283,54.666666666666664,0.8500553403329314,70.0,15.333333333333334,-54.666666666666664,0.09841108997698916,default
0.5,2.0,4.0,oracle,361.4608110864248,93.46160032936957,454.9224114157944,0.0,50.0,0.6672727096787078,70.0,20.0,-50.0,0.0,default
0.5,2.0,4.0,controller,352.07353712796794,70.11771910956219,422.1912562375301,-9.387273958456811,54.666666666666664,0.45510664803424056,70.0,15.333333333333334,-54.666666666666664,0.04438646736507192,default
0.5,2.0,4.0,fixed_policy,348.83293897288326,0.0,348.83293897288326,-12.627872113541514,-37.0,8.881784197001252e-16,33.0,70.0,37.0,0.025853080895537686,default
0.5,2.0,4.0,deploy_only,370.50248582389924,88.03142516341306,458.5339109873123,9.041674737474523,0.0,0.4263173703681857,70.0,70.0,0.0,0.01697130253140383,default
0.5,2.0,4.0,detector_only,342.0107597368503,42.180745340997895,384.19150507784815,-19.450051349574533,54.666666666666664,0.8500553403329314,70.0,15.333333333333334,-54.666666666666664,0.09841108997698916,default
0.5,4.0,0.0,oracle,343.9992107570552,76.0,419.9992107570552,0.0,50.0,0.6672727096787078,70.0,20.0,-50.0,0.0,default
0.5,4.0,0.0,controller,391.28915135173906,109.33333333333333,500.6224846850724,47.28994059468388,54.666666666666664,0.45510664803424056,70.0,15.333333333333334,-54.666666666666664,0.04438646736507192,default
0.5,4.0,0.0,fixed_policy,348.83293897288326,0.0,348.83293897288326,4.833728215828046,-37.0,8.881784197001252e-16,33.0,70.0,37.0,0.025853080895537686,default
0.5,4.0,0.0,deploy_only,429.13772732715285,146.66666666666666,575.8043939938195,85.13851657009768,0.0,0.4263173703681857,70.0,70.0,0.0,0.01697130253140383,default
0.5,4.0,0.0,detector_only,359.8300143958524,60.0,419.8300143958524,15.830803638797136,54.666666666666664,0.8500553403329314,70.0,15.333333333333334,-54.666666666666664,0.09841108997698916,default
0.5,4.0,2.0,oracle,371.7300109217401,103.7308001646848,475.4608110864249,0.0,50.0,0.6672727096787078,70.0,20.0,-50.0,0.0,default
0.5,4.0,2.0,controller,399.0146775731869,117.05885955478111,516.0735371279679,27.284666651446837,54.666666666666664,0.45510664803424056,70.0,15.333333333333334,-54.666666666666664,0.04438646736507192,default
0.5,4.0,2.0,fixed_policy,348.83293897288326,0.0,348.83293897288326,-22.897071948856762,-37.0,8.881784197001252e-16,33.0,70.0,37.0,0.025853080895537686,default
0.5,4.0,2.0,deploy_only,436.4867732421928,154.01571258170654,590.5024858238993,64.75676232045271,0.0,0.4263173703681857,70.0,70.0,0.0,0.01697130253140383,default
0.5,4.0,2.0,detector_only,365.92038706635134,66.09037267049895,432.0107597368503,-5.809623855388717,54.666666666666664,0.8500553403329314,70.0,15.333333333333334,-54.666666666666664,0.09841108997698916,default
0.5,4.0,4.0,oracle,399.4608110864248,131.4616003293696,530.9224114157944,0.0,50.0,0.6672727096787078,70.0,20.0,-50.0,0.0,default
0.5,4.0,4.0,controller,406.7402037946346,124.78438577622887,531.5245895708636,7.279392708209855,54.666666666666664,0.45510664803424056,70.0,15.333333333333334,-54.666666666666664,0.04438646736507192,default
0.5,4.0,4.0,fixed_policy,348.83293897288326,0.0,348.83293897288326,-50.627872113541514,-37.0,8.881784197001252e-16,33.0,70.0,37.0,0.025853080895537686,default
