ambient_dim,intrinsic_dim,sample_size,epsilon,coupling,mean_spectral_radius,max_spectral_radius,mean_inverse_norm,max_inverse_norm,min_spectral_gap
12,2,128,0.4,xy,0.62235485,0.65736665,2.65838795,2.91857173,0.34263335
12,2,128,0.4,xx,0.64001774,0.70946115,2.80174361,3.44188043,0.29053885
12,2,128,0.4,yy,0.64865298,0.71887357,2.86857412,3.55711846,0.28112643
12,2,128,0.5,xy,0.54819372,0.58786472,2.22056976,2.42638775,0.41213528
12,2,128,0.5,xx,0.56534588,0.64071959,2.31649996,2.78334127,0.35928041
12,2,128,0.5,yy,0.57483234,0.65237732,2.36738257,2.87668226,0.34762268
12,2,128,0.65,xy,0.45241349,0.49583932,1.83062995,1.98349463,0.50416068
12,2,128,0.65,xx,0.46825482,0.54690373,1.88988182,2.2070365,0.45309627
12,2,128,0.65,yy,0.47842887,0.56164539,1.92665508,2.28125809,0.43835461
12,2,128,0.8,xy,0.37413334,0.41817257,1.60061556,1.71872268,0.58182743
12,2,128,0.8,xx,0.38822721,0.46537276,1.64038493,1.8704621,0.53462724
12,2,128,0.8,yy,0.39856864,0.48241614,1.66869345,1.93205407,0.51758386
12,2,256,0.2,xy,0.79282839,0.8126401,4.83657358,5.33732135,0.1873599
12,2,256,0.2,xx,0.80644317,0.83212174,5.1941398,5.95669757,0.16787826
12,2,256,0.2,yy,0.80355964,0.82551252,5.10780542,5.73107018,0.17448748
12,2,256,0.3,xy,0.70232966,0.72915854,3.36523903,3.6921969,0.27084146
12,2,256,0.3,xx,0.71732546,0.74936088,3.55191708,3.98980023,0.25063912
12,2,256,0.3,yy,0.71360516,0.74442869,3.50252162,3.91280226,0.25557131
12,2,256,0.4,xy,0.62020308,0.6515101,2.63675978,2.86952364,0.3484899
12,2,256,0.4,xx,0.63584206,0.67161033,2.75444534,3.04516275,0.32838967
12,2,256,0.4,yy,0.63145307,0.66886544,2.72097293,3.01992034,0.33113456
12,2,256,0.5,xy,0.54641537,0.58010348,2.20721766,2.38153916,0.41989652
12,2,256,0.5,xx,0.56208134,0.59980192,2.28879788,2.49876261,0.40019808
12,2,256,0.5,yy,0.55725895,0.59888565,2.26422845,2.49305466,0.40111435
12,2,256,0.65,xy,0.45111719,0.48544965,1.82339352,1.94344441,0.51455035
12,2,256,0.65,xx,0.4660226,0.50434012,1.87559042,2.01751251,0.49565988
12,2,256,0.65,yy,0.46099382,0.50515708,1.85888122,2.02084332,0.49484292
12,2,256,0.8,xy,0.37308869,0.40583778,1.5960628,1.68304205,0.59416222
12,2,256,0.8,xx,0.38671346,0.42377994,1.63222462,1.7354481,0.57622006
12,2,256,0.8,yy,0.38188555,0.42537407,1.62023034,1.74026256,0.57462593
12,2,384,0.2,xy,0.78632396,0.79882948,4.68560215,4.97090724,0.20117052
12,2,384,0.2,xx,0.79569289,0.81093081,4.90462563,5.28906916,0.18906919
12,2,384,0.2,yy,0.79227006,0.82640541,4.83971905,5.76054832,0.17359459
12,2,384,0.3,xy,0.69393442,0.70999494,3.27037365,3.44821572,0.29000506
12,2,384,0.3,xx,0.70416792,0.72351844,3.38579542,3.61687778,0.27648156
12,2,384,0.3,yy,0.69967487,0.74367747,3.34391473,3.90133478,0.25632253
