a,H,V
0.333799,0.26676,1.987552
0.337989,0.26676,1.986143
0.342179,0.26676,1.98468
0.346369,0.26676,1.983165
0.350559,0.26676,1.981601
0.354749,0.26676,1.97999
0.358939,0.26676,1.978335
0.363128,0.26676,1.976638
0.367318,0.26676,1.974901
0.371508,0.26676,1.973127
0.375698,0.26676,1.971316
0.379888,0.26676,1.969471
0.384078,0.26676,1.967594
0.388268,0.26676,1.965687
0.392458,0.26676,1.963751
0.396648,0.26676,1.961788
0.400838,0.26676,1.959798
0.405028,0.26676,1.957785
0.409218,0.26676,1.955749
0.413408,0.26676,1.953692
0.417598,0.26676,1.951614
0.421788,0.26676,1.949517
0.425978,0.26676,1.947403
0.430168,0.26676,1.945272
0.434358,0.26676,1.943125
0.438547,0.26676,1.940964
0.442737,0.26676,1.93879
0.446927,0.26676,1.936603
0.451117,0.26676,1.934404
0.455307,0.26676,1.932195
0.459497,0.26676,1.929975
0.463687,0.26676,1.927747
0.467877,0.26676,1.92551
0.472067,0.26676,1.923266
0.476257,0.26676,1.921015
0.480447,0.26676,1.918758
0.484637,0.26676,1.916495
0.488827,0.26676,1.914228
0.493017,0.26676,1.911956
0.497207,0.26676,1.90968
0.501397,0.26676,1.907402
0.505587,0.26676,1.905121
0.509777,0.26676,1.902837
0.513966,0.26676,1.900552
0.518156,0.26676,1.898266
0.522346,0.26676,1.89598
0.526536,0.26676,1.893693
0.530726,0.26676,1.891406
0.534916,0.26676,1.88912
0.539106,0.26676,1.886834
0.543296,0.26676,1.88455
0.547486,0.26676,1.882268
0.551676,0.26676,1.879987
0.555866,0.26676,1.877709
0.560056,0.26676,1.875433
0.564246,0.26676,1.873161
0.568436,0.26676,1.870891
0.572626,0.26676,1.868625
0.576816,0.26676,1.866362
0.581006,0.26676,1.864104
0.585196,0.26676,1.861849
0.589385,0.26676,1.859599
0.593575,0.26676,1.857353
0.597765,0.26676,1.855113
0.601955,0.26676,1.852877
0.606145,0.26676,1.850646
0.610335,0.26676,1.848421
0.614525,0.26676,1.846201
0.618715,0.26676,1.843986
0.622905,0.26676,1.841778
0.627095,0.26676,1.839575
0.631285,0.26676,1.837378
0.635475,0.26676,1.835188
0.639665,0.26676,1.833004
0.643855,0.26676,1.830826
0.648045,0.26676,1.828655
0.652235,0.26676,1.826491
0.656425,0.26676,1.824333
0.660615,0.26676,1.822182
0.664804,0.26676,1.820038
0.668994,0.26676,1.817901
0.673184,0.26676,1.815771
0.677374,0.26676,1.813648
0.681564,0.26676,1.811533
0.685754,0.26676,1.809424
0.689944,0.26676,1.807323
0.694134,0.26676,1.80523
0.698324,0.26676,1.803144
0.702514,0.26676,1.801065
0.706704,0.26676,1.798994
0.710894,0.26676,1.796931
0.715084,0.26676,1.794875
0.719274,0.26676,1.792827
0.723464,0.26676,1.790786
0.727654,0.26676,1.788753
0.731844,0.26676,1.786728
0.736034,0.26676,1.784711
0.740223,0.26676,1.782702
0.744413,0.26676,1.7807
0.748603,0.26676,1.778706
0.752793,0.26676,1.776721
0.756983,0.26676,1.774743
0.761173,0.26676,1.772772
0.765363,0.26676,1.77081
0.769553,0.26676,1.768856
0.773743,0.26676,1.766909
0.777933,0.26676,1.764971
0.782123,0.26676,1.76304
0.786313,0.26676,1.761117
0.790503,0.26676,1.759203
0.794693,0.26676,1.757296
0.798883,0.26676,1.755397
0.803073,0.26676,1.753505
0.807263,0.26676,1.751622
0.811453,0.26676,1.749747
0.815642,0.26676,1.747879
0.819832,0.26676,1.746019
0.824022,0.26676,1.744168
0.828212,0.26676,1.742324
0.832402,0.26676,1.740487
0.836592,0.26676,1.738659
0.840782,0.26676,1.736838
0.844972,0.26676,1.735025
0.849162,0.26676,1.73322
0.853352,0.26676,1.731423
0.857542,0.26676,1.729633
0.861732,0.26676,1.727851
0.865922,0.26676,1.726076
0.870112,0.26676,1.72431
0.874302,0.26676,1.722551
0.878492,0.26676,1.720799
0.882682,0.26676,1.719055
0.886872,0.26676,1.717319
0.891061,0.26676,1.71559
0.895251,0.26676,1.713868
0.899441,0.26676,1.712154
0.903631,0.26676,1.710448
0.907821,0.26676,1.708749
0.912011,0.26676,1.707057
0.916201,0.26676,1.705373
0.920391,0.26676,1.703696
0.924581,0.26676,1.702026
0.928771,0.26676,1.700364
0.932961,0.26676,1.698708
0.937151,0.26676,1.69706
0.941341,0.26676,1.69542
0.945531,0.26676,1.693786
0.949721,0.26676,1.69216
0.953911,0.26676,1.69054
0.958101,0.26676,1.688928
0.962291,0.26676,1.687323
0.96648,0.26676,1.685724
0.97067,0.26676,1.684133
0.97486,0.26676,1.682549
0.97905,0.26676,1.680971
0.98324,0.26676,1.679401
0.98743,0.26676,1.677837
0.99162,0.26676,1.67628
0.99581,0.26676,1.67473
1.0,0.26676,1.673186
0.25,0.27095,1.998383
0.25419,0.27095,1.998982
0.25838,0.27095,1.999436
0.26257,0.27095,1.999753
0.26676,0.27095,1.999939
0.27095,0.27095,2.0
0.27514,0.27095,1.999941
0.27933,0.27095,1.999768
0.28352,0.27095,1.999486
0.287709,0.27095,1.9991
0.291899,0.27095,1.998615
0.296089,0.27095,1.998035
0.300279,0.27095,1.997364
0.304469,0.27095,1.996608
0.308659,0.27095,1.995769
0.312849,0.27095,1.994851
0.317039,0.27095,1.993859
0.321229,0.27095,1.992795
0.325419,0.27095,1.991664
0.329609,0.27095,1.990467
0.333799,0.27095,1.989209
0.337989,0.27095,1.987892
0.342179,0.27095,1.986519
0.346369,0.27095,1.985092
0.350559,0.27095,1.983615
0.354749,0.27095,1.98209
0.358939,0.27095,1.980518
0.363128,0.27095,1.978903
0.367318,0.27095,1.977247
0.371508,0.27095,1.975551
0.375698,0.27095,1.973817
0.379888,0.27095,1.972048
0.384078,0.27095,1.970245
0.388268,0.27095,1.968411
0.392458,0.27095,1.966546
0.396648,0.27095,1.964653
0.400838,0.27095,1.962732
0.405028,0.27095,1.960786
0.409218,0.27095,1.958816
0.413408,0.27095,1.956822
0.417598,0.27095,1.954808
0.421788,0.27095,1.952773
0.425978,0.27095,1.950719
0.430168,0.27095,1.948648
0.434358,0.27095,1.946559
