normalized_horizon,variance_cost_over_Emin,staleness_cost_over_Emin,total_error_over_Emin
1.215631,0.604655,0.40521,1.009866
1.220942,0.603339,0.406981,1.010319
1.226253,0.602031,0.408751,1.010782
1.231563,0.600731,0.410521,1.011253
1.236874,0.59944,0.412291,1.011732
1.242184,0.598158,0.414061,1.012219
1.247495,0.596883,0.415832,1.012715
1.252806,0.595617,0.417602,1.013219
1.258116,0.594358,0.419372,1.01373
1.263427,0.593108,0.421142,1.01425
1.268737,0.591865,0.422912,1.014778
1.274048,0.59063,0.424683,1.015313
1.279359,0.589403,0.426453,1.015856
1.284669,0.588184,0.428223,1.016407
1.28998,0.586972,0.429993,1.016965
1.295291,0.585767,0.431764,1.017531
1.300601,0.58457,0.433534,1.018104
1.305912,0.58338,0.435304,1.018684
1.311222,0.582198,0.437074,1.019272
1.316533,0.581022,0.438844,1.019867
1.321844,0.579854,0.440615,1.020469
1.327154,0.578693,0.442385,1.021078
1.332465,0.577538,0.444155,1.021693
1.337776,0.576391,0.445925,1.022316
1.343086,0.57525,0.447695,1.022946
1.348397,0.574116,0.449466,1.023582
1.353707,0.572989,0.451236,1.024225
1.359018,0.571868,0.453006,1.024874
1.364329,0.570754,0.454776,1.025531
1.369639,0.569647,0.456546,1.026193
1.37495,0.568546,0.458317,1.026862
1.380261,0.567451,0.460087,1.027538
1.385571,0.566362,0.461857,1.028219
1.390882,0.56528,0.463627,1.028907
1.396192,0.564204,0.465397,1.029601
1.401503,0.563134,0.467168,1.030302
1.406814,0.56207,0.468938,1.031008
1.412124,0.561012,0.470708,1.03172
1.417435,0.55996,0.472478,1.032439
1.422745,0.558914,0.474248,1.033163
1.428056,0.557874,0.476019,1.033893
1.433367,0.55684,0.477789,1.034628
1.438677,0.555811,0.479559,1.03537
1.443988,0.554788,0.481329,1.036117
1.449299,0.55377,0.4831,1.03687
1.454609,0.552759,0.48487,1.037628
1.45992,0.551752,0.48664,1.038392
1.46523,0.550752,0.48841,1.039162
1.470541,0.549756,0.49018,1.039937
1.475852,0.548766,0.491951,1.040717
1.481162,0.547782,0.493721,1.041502
1.486473,0.546802,0.495491,1.042293
1.491784,0.545828,0.497261,1.043089
1.497094,0.544859,0.499031,1.04389
1.502405,0.543895,0.500802,1.044697
1.507715,0.542937,0.502572,1.045508
1.513026,0.541983,0.504342,1.046325
1.518337,0.541034,0.506112,1.047146
1.523647,0.54009,0.507882,1.047973
1.528958,0.539152,0.509653,1.048804
1.534269,0.538218,0.511423,1.049641
1.539579,0.537289,0.513193,1.050482
1.54489,0.536364,0.514963,1.051328
1.5502,0.535445,0.516733,1.052178
1.555511,0.53453,0.518504,1.053034
1.560822,0.53362,0.520274,1.053894
1.566132,0.532715,0.522044,1.054759
1.571443,0.531814,0.523814,1.055628
