label,a,zeta,n_star,risk_star
canonical / parametric,0.5,0.019791668678535573,13.667163564620061,0.27049597304631356
canonical / parametric,0.5,0.020255019392306676,13.457928742504452,0.2725906076597091
canonical / parametric,0.5,0.02072921779595371,13.251897160810953,0.27470146245603094
canonical / parametric,0.5,0.021214517849106298,13.049019780144024,0.27682866303920656
canonical / parametric,0.5,0.02171117945694504,12.849248311867356,0.27897233598580035
canonical / parametric,0.5,0.02221946860939524,12.652535206610274,0.28113260885254515
canonical / parametric,0.5,0.022739657523579287,12.458833642950076,0.28330961018393247
canonical / parametric,0.5,0.023272024789604086,12.268097516267666,0.2855034695198615
canonical / parametric,0.5,0.023816855519761582,12.080281427773771,0.28771431740334713
canonical / parametric,0.5,0.024374441501222206,11.895340673703194,0.2899422853882877
canonical / parametric,0.5,0.024945081352303167,11.713231234674462,0.292187506047293
canonical / parametric,0.5,0.025529080682395178,11.533909765212394,0.2944501129795729
canonical / parametric,0.5,0.026126752255633278,11.357333583431053,0.29673024081888694
canonical / parametric,0.5,0.026738416158399468,11.183460660874653,0.2990280252415557
canonical / parametric,0.5,0.027364399970746706,11.012249612514006,0.3013436029745338
canonical / parametric,0.5,0.02800503894183631,10.8436596868961,0.30367711180354584
canonical / parametric,0.5,0.028660676169482518,10.67765075644448,0.30602869058128535
canonical / parametric,0.5,0.02933166278390044,10.514183307908144,0.3083984792356766
canonical / parametric,0.5,0.03001835813575589,10.353218432956622,0.3107866187782013
canonical / parametric,0.5,0.030721129988617576,10.194717818919084,0.3131932513122891
canonical / parametric,0.5,0.031440354715915,10.038643739665197,0.31561852004177327
canonical / parametric,0.5,0.03217641750250737,9.884959046625582,0.31806256927941196
canonical / parametric,0.5,0.03292971255097151,9.733627159949775,0.3205255444554754
canonical / parametric,0.5,0.03370064329271928,9.584612059799523,0.32300759212639923
canonical / parametric,0.5,0.03448962260405758,9.437878277775381,0.3255088599835058
canonical / parametric,0.5,0.0352970730273065,9.293390888474569,0.3280294968617918
canonical / parametric,0.5,0.036123426997094324,9.15111550117808,0.33056965274878464
canonical / parametric,0.5,0.036969127071950283,9.011018251665018,0.3331294787934674
canonical / parametric,0.5,0.03783462617131929,8.8730657941523,0.33570912731527264
canonical / parametric,0.5,0.03872038781812555,8.737225293357712,0.3383087518131464
canonical / parametric,0.5,0.03962688638701478,8.603464416684503,0.34092850697468124
canonical / parametric,0.5,0.040554607358408296,8.471751326525622,0.34356854868532133
canonical / parametric,0.5,0.04150404757850477,8.342054672685762,0.34622903403763794
canonical / parametric,0.5,0.04247571552536898,8.214343584919426,0.3489101213406773
canonical / parametric,0.5,0.043470131581250245,8.08858766558322,0.35161197012938034
canonical / parametric,0.5,0.04448782831127585,7.96475698240065,0.3543347411740757
canonical / parametric,0.5,0.0455293507486695,7.842822061337679,0.35707859649004636
canonical / parametric,0.5,0.046595256686646824,7.722753879587342,0.35984369934716987
canonical / parametric,0.5,0.04768611697714469,7.604523858661785,0.3626302142796336
canonical / parametric,0.5,0.04880251583654431,7.488103857590022,0.36543830709572567
canonical / parametric,0.5,0.0499450511585514,7.373466166219887,0.3682681448877002
canonical / parametric,0.5,0.051114334834401684,7.2605834986224735,0.3711198960417208
canonical / parametric,0.5,0.05231099308056263,7.1494289865975755,0.3739937302478798
canonical / parametric,0.5,0.053535666774107246,7.0399761732785535,0.3768898185102954
canonical / parametric,0.5,0.054789011795939424,6.932199006835091,0.3798083331572875
canonical / parametric,0.5,0.05607169938205458,6.826071834272388,0.38274944785163123
canonical / parametric,0.5,0.057384416483023955,6.721569395325242,0.3857133376008912
canonical / parametric,0.5,0.05872786613189483,6.61866681644565,0.3887001787678347
canonical / parametric,0.5,0.06010276782070382,6.517339604882424,0.39171014908092594
canonical / parametric,0.5,0.061509857885805014,6.417563642851453,0.39474342764490206
canonical / parametric,0.5,0.06294988990221888,6.319315181795228,0.39780019495143
canonical / parametric,0.5,0.06442363508721373,6.222570836730229,0.40088063288984654
canonical / parametric,0.5,0.06593188271333549,6.127307580680858,0.40398492475798176
canonical / parametric,0.5,0.06747544053110693,6.033502739198593,0.4071132552730655
canonical / parametric,0.5,0.06905513520162328,5.941133984965033,0.41026581058271927
canonical / parametric,0.5,0.07067181273927492,5.850179332477582,0.4134427782760321
canonical / parametric,0.5,0.07232633896483537,5.760617132816487,0.4166443473947233
canonical / parametric,0.5,0.07401959996915644,5.672426068491977,0.419870708444391
canonical / parametric,0.5,0.07575250258771912,5.585585148370317,0.42312205340584796
canonical / parametric,0.5,0.0775259748862946,5.500073702677499,0.42639857574654527
canonical / parametric,0.5,0.07934096665797492,5.415871378079472,0.42970047043208415
canonical / parametric,0.5,0.08119844993184012,5.332958132837647,0.4330279339378173
canonical / parametric,0.5,0.08309941949353396,5.251314232038593,0.4363811642605402
canonical / parametric,0.5,0.08504489341802678,5.1709202428967584,0.439760360930272
canonical / parametric,0.5,0.0870359136148516,5.091757030129092,0.44316572502212914
canonical / parametric,0.5,0.0890735463861044,5.013805751400499,0.44659745916828947
canonical / parametric,0.5,0.09115888299750823,4.937047852839002,0.45005576757004984
canonical / parametric,0.5,0.09329304026284686,4.861465064619569,0.45354085600997696
canonical / parametric,0.5,0.09547716114208062,4.787039396615558,0.457052931864152
canonical / parametric,0.5,0.09771241535346496,4.713753134116724,0.46059220411451063
canonical / parametric,0.5,0.1,4.641588833612778,0.4641588833612779
operational degraded,0.4166666666666667,0.001,131.11339374215638,0.13111339374215641
operational degraded,0.4166666666666667,0.0010234114021054528,128.98902612533084,0.13200884008314176
operational degraded,0.4166666666666667,0.0010473708979594498,126.89907862107047,0.13291040192557746
operational degraded,0.4166666666666667,0.0010718913192051276,124.84299353675219,0.13381812103562657
operational degraded,0.4166666666666667,0.001096985797892384,122.8202222157794,0.13473203946469675
operational degraded,0.4166666666666667,0.0011226677735108135,120.83022489117637,0.1356521995513879
operational degraded,0.4166666666666667,0.0011489510001873086,118.8724705415532,0.13657864392345398
operational degraded,0.4166666666666667,0.0011758495540521569,116.9464367494057,0.13751141549977752
operational degraded,0.4166666666666667,0.0012033778407775893,115.05160956171089,0.13845055749235796
operational degraded,0.4166666666666667,0.0012315506032928262,113.18748335278052,0.13939611340831362
operational degraded,0.4166666666666667,0.0012603829296797275,111.35356068933783,0.140348127051897
operational degraded,0.4166666666666667,0.001289890261253308,109.54935219777938,0.14130664252652436
operational degraded,0.4166666666666667,0.001320088400831418,107.77437643358817,0.14227170423681873
operational degraded,0.4166666666666667,0.0013509935211980266,106.0281597528627,0.14324335689066692
operational degraded,0.4166666666666667,0.0013826221737646563,104.31023618592683,0.1442216455012909
operational degraded,0.4166666666666667,0.0014149912974345759,102.62014731298845,0.14520661538933288
operational degraded,0.4166666666666667,0.001448118227674533,100.95744214181201,0.14619831218495508
operational degraded,0.4166666666666667,0.0014820207057988585,99.32167698737338,0.14719678182995338
operational degraded,0.4166666666666667,0.0015167168884709225,97.71241535346495,0.14820207057988583
operational degraded,0.4166666666666667,0.001552225357427048,96.12922781621815,0.1492142250062154
operational degraded,0.4166666666666667,0.0015885651294280528,94.57169190951423,0.15023329199846747
operational degraded,0.4166666666666667,0.0016257556664437934,93.03939201225076,0.1512593187664021
operational degraded,0.4166666666666667,0.001663816886076129,91.53191923743522,0.15229235284220125
operational degraded,0.4166666666666667,0.0017027691722258996,90.04887132307574,0.1533324420826703
operational degraded,0.4166666666666667,0.0017426333860096508,88.58985252483888,0.15437963467145563
operational degraded,0.4166666666666667,0.0017834308769319094,87.15447351044756,0.1554339791212764
operational degraded,0.4166666666666667,0.0018251834943190425,85.74235125578929,0.15649552427617228
operational degraded,0.4166666666666667,0.0018679135990207828,84.35310894270803,0.157564319313766
operational degraded,0.4166666666666667,0.0019116440753857017,82.98637585845238,0.15864041374754154
operational degraded,0.4166666666666667,0.001956398343517065,81.64178729675203,0.15972385742913828
operational degraded,0.4166666666666667,0.0020022003718155844,80.3189844604983,0.16081470055065988
operational degraded,0.4166666666666667,0.002049074689815846,79.0176143660002,0.16191299364700007
operational degraded,0.4166666666666667,0.002097046401323233,77.73732974879276,0.16301878759818342
operational degraded,0.4166666666666667,0.0021461411978584036,76.47778897097118,0.16413213363172235
operational degraded,0.4166666666666667,0.002196385372416547,75.23865593002606,0.16525308332499078
operational degraded,0.4166666666666667,0.002247805833548725,74.01959996915642,0.16638168860761285
operational degraded,0.4166666666666667,0.002300430119772917,72.82029578903511,0.16751800176386936
operational degraded,0.4166666666666667,0.0023542864143224177,71.64042336100454,0.16866207543511938
operational degraded,0.4166666666666667,0.0024094035602395245,70.47966784167839,0.1698139626222391
operational degraded,0.4166666666666667,0.002465811075822604,69.33771948892709,0.17097371668807732
operational degraded,0.4166666666666667,0.0025235391704347657,68.21427357922484,0.17214139135992723
operational degraded,0.4166666666666667,0.002582618760682675,67.10903032633517,0.17331704073201587
operational degraded,0.4166666666666667,0.0026430814869741054,66.02169480131478,0.1745007192680097
operational degraded,0.4166666666666667,0.0027049597304631343,64.95197685381301,0.1756924818035378
operational degraded,0.4166666666666667,0.0027682866303920667,63.89959103464644,0.17689238354873255
operational degraded,0.4166666666666667,0.002833096101839324,62.864256519628455,0.17810048009078674
operational degraded,0.4166666666666667,0.002899422853882875,61.84569703463228,0.17931682739652924
operational degraded,0.4166666666666667,0.0029673024081888696,60.8436407818687,0.18054148181501756
operational degraded,0.4166666666666667,0.0030367711180354575,59.85782036735824,0.1817745000801481
operational degraded,0.4166666666666667,0.003107866187782014,58.887972729577996,0.1830159393132848
operational degraded,0.4166666666666667,0.0031806256927941192,57.93383906926532,0.1842658570259051
operational degraded,0.4166666666666667,0.0032550885998350564,56.995164780358124,0.18552431112226428
