ambient_dim,intrinsic_dim,sample_size,epsilon,coupling,mean_spectral_radius,max_spectral_radius,mean_operator_norm,max_operator_norm,mean_inverse_norm,max_inverse_norm,min_spectral_gap
8,2,128,0.05,xx,0.96609235,0.97886082,0.96609235,0.97886082,30.89396478,47.30552969,0.02113918
8,2,128,0.05,yy,0.96387433,0.97135758,0.96387433,0.97135758,28.17488877,34.91325182,0.02864242
8,2,128,0.1,xy,0.89004809,0.90304652,0.89004809,0.90304652,9.12486412,10.3142253,0.09695348
8,2,128,0.1,xx,0.91246968,0.93922747,0.91246968,0.93922747,11.72643349,16.45480383,0.06077253
8,2,128,0.1,yy,0.91248269,0.92440699,0.91248269,0.92440699,11.53206801,13.22873634,0.07559301
8,2,128,0.2,xy,0.78973328,0.80916138,0.78973328,0.80916138,4.76815543,5.24002964,0.19083862
8,2,128,0.2,xx,0.81118829,0.85391414,0.81118829,0.85391414,5.37782166,6.84528938,0.14608586
8,2,128,0.2,yy,0.81371278,0.83369615,0.81371278,0.83369615,5.3988565,6.01309008,0.16630385
8,2,128,0.4,xy,0.61488606,0.64493924,0.61488606,0.64493924,2.60121022,2.81641937,0.35506076
8,2,128,0.4,xx,0.63674578,0.69119118,0.63674578,0.69119118,2.77667857,3.2382495,0.30880882
8,2,128,0.4,yy,0.63842293,0.67388265,0.63842293,0.67388265,2.7752201,3.06638086,0.32611735
8,2,128,0.8,xy,0.36680247,0.40106793,0.36680247,0.40106793,1.5804172,1.66963842,0.59893207
8,2,128,0.8,xx,0.38536237,0.44639882,0.38536237,0.44639882,1.63236131,1.80635453,0.55360118
8,2,128,0.8,yy,0.38518874,0.43141841,0.38518874,0.43141841,1.62890302,1.75876252,0.56858159
12,1,32,0.05,xy,0.93111343,0.96141203,0.93111343,0.96141203,15.3435037,25.91481169,0.03858797
12,1,32,0.05,xx,0.95162287,0.98167939,0.95162287,0.98167939,25.89633741,54.58333575,0.01832061
12,1,32,0.05,yy,0.95495198,0.98706306,0.95495198,0.98706306,28.82723553,77.29802418,0.01293694
