scenario,seed,n_star_true,n_hat_ucurve,n_hat_param,abs_err_ucurve,abs_err_param,rel_err_ucurve,rel_err_param,coverage_ucurve,coverage_param
sinusoidal,20,12.0,13.0,9.689812394664056,1.0,2.310187605335944,0.08333333333333333,0.19251563377799533,1.0,1.0
sinusoidal,21,12.0,12.0,9.522966388625946,0.0,2.477033611374054,0.0,0.2064194676145045,1.0,1.0
sinusoidal,22,12.0,5.0,9.698924660451738,7.0,2.3010753395482624,0.5833333333333334,0.19175627829568853,1.0,1.0
sinusoidal,23,12.0,5.0,9.711444574986206,7.0,2.2885554250137936,0.5833333333333334,0.1907129520844828,1.0,1.0
sinusoidal,24,12.0,5.0,9.62872611426938,7.0,2.37127388573062,0.5833333333333334,0.19760615714421834,1.0,1.0
sinusoidal,25,12.0,5.0,9.421010876419714,7.0,2.5789891235802855,0.5833333333333334,0.21491576029835713,1.0,1.0
sinusoidal,26,12.0,5.0,9.636884778306722,7.0,2.3631152216932776,0.5833333333333334,0.1969262684744398,1.0,1.0
sinusoidal,27,12.0,5.0,9.721356653545255,7.0,2.2786433464547446,0.5833333333333334,0.1898869455378954,1.0,1.0
sinusoidal,28,12.0,5.0,9.61336381570241,7.0,2.38663618429759,0.5833333333333334,0.19888634869146582,1.0,1.0
sinusoidal,29,12.0,5.0,9.807444991082928,7.0,2.192555008917072,0.5833333333333334,0.182712917409756,1.0,1.0
sinusoidal,30,12.0,5.0,9.200505852173647,7.0,2.799494147826353,0.5833333333333334,0.23329117898552942,1.0,1.0
sinusoidal,31,12.0,5.0,9.440069597970565,7.0,2.559930402029435,0.5833333333333334,0.21332753350245293,1.0,1.0
sinusoidal,32,12.0,16.0,9.645482643811398,4.0,2.3545173561886017,0.3333333333333333,0.19620977968238348,1.0,1.0
sinusoidal,33,12.0,5.0,9.613424323438025,7.0,2.386575676561975,0.5833333333333334,0.19888130638016457,1.0,1.0
sinusoidal,34,12.0,5.0,9.437335404124322,7.0,2.5626645958756775,0.5833333333333334,0.2135553829896398,1.0,1.0
sinusoidal,35,12.0,5.0,9.576230649145936,7.0,2.423769350854064,0.5833333333333334,0.20198077923783866,1.0,1.0
sinusoidal,36,12.0,5.0,9.734512003374437,7.0,2.2654879966255628,0.5833333333333334,0.18879066638546357,1.0,1.0
sinusoidal,37,12.0,13.0,9.71575448965732,1.0,2.2842455103426804,0.08333333333333333,0.1903537925285567,1.0,1.0
sinusoidal,38,12.0,5.0,9.305182617667397,7.0,2.6948173823326034,0.5833333333333334,0.2245681151943836,1.0,1.0
sinusoidal,39,12.0,5.0,9.625338276444987,7.0,2.374661723555013,0.5833333333333334,0.19788847696291775,1.0,1.0
sinusoidal,40,12.0,5.0,9.881993577293835,7.0,2.1180064227061646,0.5833333333333334,0.1765005352255137,1.0,1.0
sinusoidal,41,12.0,5.0,9.768626136998632,7.0,2.2313738630013678,0.5833333333333334,0.18594782191678064,1.0,1.0
sinusoidal,42,12.0,5.0,9.695641260021493,7.0,2.3043587399785075,0.5833333333333334,0.19202989499820897,1.0,1.0
sinusoidal,43,12.0,5.0,9.677178251505211,7.0,2.322821748494789,0.5833333333333334,0.19356847904123242,1.0,1.0
sinusoidal,44,12.0,5.0,9.383784577832564,7.0,2.6162154221674356,0.5833333333333334,0.2180179518472863,1.0,1.0
sinusoidal,45,12.0,5.0,9.64947061119372,7.0,2.3505293888062795,0.5833333333333334,0.19587744906718996,1.0,1.0
sinusoidal,46,12.0,5.0,9.739321284744133,7.0,2.2606787152558674,0.5833333333333334,0.18838989293798894,1.0,1.0
sinusoidal,47,12.0,5.0,9.92431995219335,7.0,2.0756800478066495,0.5833333333333334,0.17297333731722078,1.0,1.0
sinusoidal,48,12.0,5.0,9.335943071781806,7.0,2.6640569282181943,0.5833333333333334,0.22200474401818285,1.0,1.0
