user_id,phase,detected,healthy_fp
25567,bubble_detection,0,0.0
25567,collapse_detection,0,0.0
5519,bubble_detection,1,1.0
5519,collapse_detection,1,1.0
1689,bubble_detection,0,0.0
1689,collapse_detection,0,0.0
13912,bubble_detection,0,0.0
13912,collapse_detection,0,0.0
25610,bubble_detection,1,1.0
25610,collapse_detection,1,1.0
7329,bubble_detection,1,1.0
7329,collapse_detection,1,1.0
16496,bubble_detection,1,1.0
16496,collapse_detection,1,1.0
5239,bubble_detection,1,2.0
5239,collapse_detection,1,2.0
1709,bubble_detection,1,1.0
1709,collapse_detection,1,1.0
14656,bubble_detection,0,0.0
14656,collapse_detection,0,0.0
13058,bubble_detection,1,3.0
13058,collapse_detection,1,3.0
