seed,regime,condition,influence,lambda,tail_abs_error,tail_action_gap,tail_effort,tail_sigma_p,tail_sigma_p_eff,tail_sigma_a,tail_sigma_phi,tail_tci,tail_tcie
10,passive,fm1,0.3,0.5,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.3,0.5,0.233272,0.333246,0.099974,0.960559,0.91614,1.0,1.0,0.960559,0.91614
11,passive,fm1,0.3,0.5,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.3,0.5,0.295552,0.422218,0.126665,0.946694,0.891297,1.0,1.0,0.946694,0.891297
12,passive,fm1,0.3,0.5,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.3,0.5,0.290822,0.41546,0.124638,0.94781,0.893114,1.0,1.0,0.94781,0.893114
13,passive,fm1,0.3,0.5,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.3,0.5,0.262436,0.374909,0.112473,0.949787,0.901827,1.0,1.0,0.949787,0.901827
14,passive,fm1,0.3,0.5,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.3,0.5,0.225865,0.322664,0.096799,0.963336,0.91998,1.0,1.0,0.963336,0.91998
7,passive,fm1,0.3,1.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.3,1.0,0.285301,0.407572,0.122272,0.946969,0.844742,1.0,1.0,0.946969,0.844742
8,passive,fm1,0.3,1.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.3,1.0,0.235249,0.336071,0.100821,0.958359,0.87502,1.0,1.0,0.958359,0.87502
9,passive,fm1,0.3,1.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.3,1.0,0.376351,0.537644,0.161293,0.921022,0.791766,1.0,1.0,0.921022,0.791766
10,passive,fm1,0.3,1.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.3,1.0,0.233272,0.333246,0.099974,0.960559,0.875014,1.0,1.0,0.960559,0.875014
11,passive,fm1,0.3,1.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.3,1.0,0.295552,0.422218,0.126665,0.946694,0.840319,1.0,1.0,0.946694,0.840319
12,passive,fm1,0.3,1.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.3,1.0,0.290822,0.41546,0.124638,0.94781,0.842754,1.0,1.0,0.94781,0.842754
13,passive,fm1,0.3,1.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.3,1.0,0.262436,0.374909,0.112473,0.949787,0.857964,1.0,1.0,0.949787,0.857964
14,passive,fm1,0.3,1.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.3,1.0,0.225865,0.322664,0.096799,0.963336,0.879697,1.0,1.0,0.963336,0.879697
7,passive,fm1,0.3,2.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.3,2.0,0.285301,0.407572,0.122272,0.946969,0.758456,1.0,1.0,0.946969,0.758456
8,passive,fm1,0.3,2.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.3,2.0,0.235249,0.336071,0.100821,0.958359,0.803795,1.0,1.0,0.958359,0.803795
9,passive,fm1,0.3,2.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.3,2.0,0.376351,0.537644,0.161293,0.921022,0.685619,1.0,1.0,0.921022,0.685619
10,passive,fm1,0.3,2.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.3,2.0,0.233272,0.333246,0.099974,0.960559,0.801481,1.0,1.0,0.960559,0.801481
11,passive,fm1,0.3,2.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.3,2.0,0.295552,0.422218,0.126665,0.946694,0.749955,1.0,1.0,0.946694,0.749955
12,passive,fm1,0.3,2.0,0.654692,0.654692,0.0,0.803035,0.803035,1.0,1.0,0.803035,0.803035
12,coercive,fm1,0.3,2.0,0.290822,0.41546,0.124638,0.94781,0.753445,1.0,1.0,0.94781,0.753445
13,passive,fm1,0.3,2.0,0.726374,0.726374,0.0,0.783095,0.783095,1.0,1.0,0.783095,0.783095
13,coercive,fm1,0.3,2.0,0.262436,0.374909,0.112473,0.949787,0.780777,1.0,1.0,0.949787,0.780777
14,passive,fm1,0.3,2.0,0.771274,0.771274,0.0,0.765668,0.765668,1.0,1.0,0.765668,0.765668
14,coercive,fm1,0.3,2.0,0.225865,0.322664,0.096799,0.963336,0.807298,1.0,1.0,0.963336,0.807298
7,passive,fm1,0.3,3.0,0.800198,0.800198,0.0,0.748949,0.748949,1.0,1.0,0.748949,0.748949
7,coercive,fm1,0.3,3.0,0.285301,0.407572,0.122272,0.946969,0.685217,1.0,1.0,0.946969,0.685217
8,passive,fm1,0.3,3.0,0.557929,0.557929,0.0,0.844876,0.844876,1.0,1.0,0.844876,0.844876
8,coercive,fm1,0.3,3.0,0.235249,0.336071,0.100821,0.958359,0.742288,1.0,1.0,0.958359,0.742288
9,passive,fm1,0.3,3.0,0.965855,0.965855,0.0,0.683432,0.683432,1.0,1.0,0.683432,0.683432
9,coercive,fm1,0.3,3.0,0.376351,0.537644,0.161293,0.921022,0.597897,1.0,1.0,0.921022,0.597897
10,passive,fm1,0.3,3.0,0.415387,0.415387,0.0,0.899595,0.899595,1.0,1.0,0.899595,0.899595
10,coercive,fm1,0.3,3.0,0.233272,0.333246,0.099974,0.960559,0.737923,1.0,1.0,0.960559,0.737923
11,passive,fm1,0.3,3.0,0.594756,0.594756,0.0,0.831697,0.831697,1.0,1.0,0.831697,0.831697
11,coercive,fm1,0.3,3.0,0.295552,0.422218,0.126665,0.946694,0.672717,1.0,1.0,0.946694,0.672717
